"","OTUID","Warming","Control","delta.eaf","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"154","OTU_216",0.200381456513648,0,0.200381456513648,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylocapsa","Methylocapsa acidiphila"
"155","OTU_2178",0.253848348432259,0,0.253848348432259,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodovulum","Rhodovulum sp. ES.010"
"156","OTU_2181",0.497000233019618,0.245185684328363,0.251814548691255,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Calotrichaceae","Calothrix","Calothrix sp. NIES-2100"
"157","OTU_219",0.275582516785681,0,0.275582516785681,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. ISA0203"
"158","OTU_22",0.285530886420998,0.162254400497525,0.123276485923473,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Scytonemataceae","Scytonema","Scytonema sp. LEGE 07189"
"159","OTU_220",0.459532328071679,0,0.459532328071679,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Chroococcales","Aphanothecaceae","Gloeothece","Gloeothece tepidariorum"
"160","OTU_2213",0,0.184972960822921,-0.184972960822921,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"161","OTU_2219",0.247985718246574,0,0.247985718246574,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Richelia","Richelia sp. SC01"
"162","OTU_22209",0.270916297813,0.12284696721195,0.148069330601051,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Allochromatium","Allochromatium vinosum"
"163","OTU_223",0.312197200004736,0.228954660564465,0.0832425394402716,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens complex"
"164","OTU_22324",0.213841796111158,0,0.213841796111158,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. enrichment culture clone CACua-88"
"165","OTU_224",0.506036005099788,0.144917204637092,0.361118800462696,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","Nostoc sp. UAM 362"
"166","OTU_2258",0.225037732813954,0,0.225037732813954,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Scytonemataceae","Brasilonema","Brasilonema sp. CENA360"
"167","OTU_226",0.237589131172435,0,0.237589131172435,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylocystaceae","Methylocystis","Methylocystis sp. H15"
"168","OTU_22623",0.305630538439955,0,0.305630538439955,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter peroxydans"
"169","OTU_2287",0.333311009156232,0,0.333311009156232,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes","Rhodoplanes roseus"
"170","OTU_23",0.536810862460884,0.208358483314245,0.32845237914664,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"171","OTU_2326",10.497545287883,10.0320316354332,0.465513652449847,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylocystaceae","Methylosinus","Methylosinus sp. LW3"
"172","OTU_234",0.17768470441171,0,0.17768470441171,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Ensifer","Ensifer sp."
"173","OTU_235",0.52967308468858,0.185643393383294,0.344029691305286,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","Nostoc sp. CENA356"
"174","OTU_2364",0.297264397402921,0,0.297264397402921,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena frigida"
"175","OTU_237",0.244609500137353,0,0.244609500137353,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","Rhizobium leguminosarum"
"176","OTU_2381",0.456102124569584,0.131074959789792,0.325027164779792,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"177","OTU_2392",0.27656711214144,0,0.27656711214144,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia sp. HC6.4b"
"178","OTU_24",0.610583104194747,0,0.610583104194747,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","unknown Nostoc"
"179","OTU_2409",0.22794567345614,0,0.22794567345614,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Scytonemataceae","Scytonema","Scytonema sp. LEGE 07189"
"180","OTU_241",0.360446336140275,0.256072750546979,0.104373585593297,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium waimense"
"181","OTU_24173",0.241980566429311,0,0.241980566429311,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"182","OTU_24235",0.479505683356543,0.129238123180662,0.350267560175881,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","unknown Nostoc"
"183","OTU_2424",0.249583839125043,0,0.249583839125043,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga sp. T4"
"184","OTU_2443",0.226790999640418,0,0.226790999640418,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Scytonemataceae","Scytonema","Scytonema sp. LEGE 07189"
"185","OTU_2447",0.223390632446347,0.112882163399483,0.110508469046864,"Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. CCBAU 10866"
"186","OTU_2451",0.389381204523354,0,0.389381204523354,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena frigida"
"187","OTU_245378",0.14375796904039,0,0.14375796904039,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter sp. Red267"
"188","OTU_24570",0.255650035534018,0,0.255650035534018,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Oscillatoriales","Oscillatoriaceae","Oscillatoria","Oscillatoria sp. MMG-2"
"189","OTU_2463",0.223501414838733,0,0.223501414838733,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Synechococcales","Synechococcaceae","Synechococcus","unknown Synechococcus"
"190","OTU_2465",0.285096999002023,0.130622351764902,0.15447464723712,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum","Azospirillum zeae"
"191","OTU_247",0.226540972717791,0,0.226540972717791,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Ciceribacter","unknown Ciceribacter"
