"","otu_id","treatment","2.5%","50%","97.5%","p_val"
"34","OTU_1074","Control",0.0127974749641818,0.122486643511461,0.226901572879845,0.014
"35","OTU_1074","Warming",0.197011840227341,0.315930829389593,0.42094066876819,0
"36","OTU_108","Control",-0.0923147290981024,0.0187237133950741,0.134057189937117,0.376
"37","OTU_10806","Warming",0.0414528706422283,0.165511234774348,0.288838490607425,0
"38","OTU_109","Warming",0.035534348173524,0.271542554892353,0.514986207088718,0.0218978102189781
"39","OTU_11","Control",-0.0290975204500041,0.0536492264391402,0.136060543141182,0.112
"40","OTU_11","Warming",0.130193035861473,0.230505052964499,0.326215505904131,0
"41","OTU_110","Control",-0.0996066309998267,0.0432347402849663,0.201835240037734,0.323943661971831
"42","OTU_11012","Control",-0.132461165529786,0.0559708150754305,0.206751107928793,0.286407766990291
"43","OTU_1107","Warming",-0.109592379521666,0.106845642562016,0.444741353117843,0.190058479532164
"44","OTU_110784","Control",-0.175151549839673,-0.0066857407402471,0.180536351035073,0.532786885245902
"45","OTU_110784","Warming",0.166474811783073,0.369845961140428,0.583552567517044,0
"46","OTU_111","Control",-0.138601298242725,0.0542438701684922,0.242832170283554,0.333333333333333
"47","OTU_111","Warming",-0.111056101937581,0.123176542151802,0.384939091870922,0.175438596491228
"48","OTU_1119","Control",0.0356299088155645,0.144034294204885,0.262880368658286,0.002
"49","OTU_1119","Warming",0.406078019994706,0.53352215156113,0.656968202021407,0
"50","OTU_1127","Control",-0.115515363750483,0.169342633742492,0.333262015471803,0.128526645768025
"51","OTU_1127","Warming",0.326910050920868,0.718385133752782,0.993252939385097,0
"52","OTU_1133","Control",-0.14533448502806,0.00573716763774542,0.17532832523542,0.475409836065574
"53","OTU_1136","Warming",0.0407550440460473,0.186112648033397,0.347514490164543,0.015625
"54","OTU_11362","Control",-0.0215602774357617,0.141106598100943,0.342259050510104,0.0424242424242425
"55","OTU_114","Control",-0.0498724807527731,0.103301378810653,0.22114696228639,0.081
"56","OTU_114","Warming",0.341506710842332,0.50576618329298,0.736797650424126,0
"57","OTU_1140","Control",-0.107129791336022,0.146132419494,0.461501964592045,0.230769230769231
"58","OTU_1140","Warming",0.110434523648357,0.429226521681064,0.786114156867296,0
"59","OTU_1141","Control",-0.00970215516495813,0.0849105934686213,0.175064822943455,0.042
"60","OTU_1141","Warming",0.168842895779879,0.288239363973605,0.408502562857427,0
"61","OTU_1146","Warming",0.0837584733758407,0.263194457677714,0.451435041873436,0.00943396226415094
"62","OTU_1150","Control",0.0841445413753234,0.153663047656908,0.231552526087756,0
"63","OTU_1150","Warming",0.161631930216997,0.397446271577499,0.594623022523795,0
"64","OTU_1152","Warming",0.0663999140478733,0.189419775201144,0.323353371108042,0
"65","OTU_116","Control",-0.111600003176267,-0.0154425594896795,0.0832727650781231,0.626
"66","OTU_116","Warming",0.0379297280447945,0.173951971191471,0.301893296286984,0.00600000000000001
"67","OTU_1160","Control",-0.0392245941715741,0.103266569489884,0.408696412726625,0.100817438692098
"68","OTU_11745","Warming",-0.0938076417498252,0.131985388514082,0.393878124014585,0.123076923076923
"69","OTU_11764","Control",-0.0140159656050535,0.191733060324741,0.344701260453125,0.0327868852459017
"70","OTU_11764","Warming",-0.0644944256007048,0.295090121823857,0.560177218911239,0.0348258706467661
"71","OTU_1178","Warming",0.127947421903651,0.249507580592553,0.356787926137694,0
"72","OTU_1179","Warming",0.112655189198494,0.323094209721267,0.478352931421573,0
"73","OTU_118","Control",0.0442586068987776,0.12998830599102,0.208299472141439,0.003
"74","OTU_118","Warming",0.151376936000839,0.277867090775809,0.398786616096289,0
"75","OTU_1188","Control",-0.0854532701389295,0.0446531605172672,0.168831390403669,0.251
"76","OTU_1188","Warming",0.165987089128011,0.357821761727272,0.585585235356233,0
"77","OTU_119","Control",-0.0136684477803532,0.146529578628054,0.365716532093195,0.043
"78","OTU_119","Warming",0.208184760300566,0.378347371085791,0.596301134806155,0
"79","OTU_1195","Control",-0.0720429745658915,0.106495945098592,0.175036520485703,0.217983651226158
"80","OTU_1198","Control",-0.14749399794001,0.0254105002264202,0.194097874909291,0.409090909090909
"81","OTU_12","Control",-0.0248760824121849,0.076030514632384,0.175866480076975,0.077
"82","OTU_12","Warming",0.19300899510034,0.394374640901728,0.568073524221747,0
"83","OTU_1200","Control",-0.139487742313628,-0.0141556861965981,0.103236431589517,0.610328638497653
"84","OTU_1200","Warming",0.179351557948405,0.278608337157769,0.37029853236401,0
"85","OTU_120707","Warming",0.0719789283067348,0.342596749750072,0.631852732618235,0
"86","OTU_1209","Warming",0.251776414281854,0.428978439732533,0.640786326075617,0
"87","OTU_121","Control",-0.0601404108539891,0.0534574043616942,0.164009914163168,0.195
"88","OTU_121","Warming",0.487653531325721,0.593179395818194,0.688139821695918,0
"89","OTU_12148","Control",-0.00672459323581952,0.130670157251267,0.288709735797224,0.0467289719626168
"90","OTU_1215","Control",-0.014882411408067,0.145635712544781,0.400094169263215,0.0833333333333334
"91","OTU_1225","Control",-0.112846138737402,0.0541304114492927,0.259502129975201,0.259519038076152
"92","OTU_1229","Warming",0.181255650980729,0.355146662480731,0.512035507892791,0
"93","OTU_12291","Warming",-0.0496373832480481,0.106188172532554,0.241427045990248,0.0849056603773585
"94","OTU_123","Control",-0.0453189866511756,0.0397765050333962,0.126066777290287,0.152
"95","OTU_123","Warming",0.0864858279647367,0.196973998963918,0.302377108094656,0
"96","OTU_1231","Control",-0.111099162975154,0.0521957992736984,0.193096922632356,0.242
"97","OTU_1231","Warming",0.369157589934587,0.471704820197411,0.57857454134138,0
"98","OTU_1242","Control",-0.435274602741129,-0.186824165732663,0.213049649752983,0.805405405405405
"99","OTU_124205","Control",-0.507976556716968,-0.135543832453598,0.12546542379845,0.757142857142857
"100","OTU_124205","Warming",0.060335556549242,0.241316212686975,0.430079118056734,0
"101","OTU_1243","Warming",-0.0701769860358458,0.102513758361668,0.298988587827333,0.2
"102","OTU_1251","Warming",-0.0465917347197684,0.134986424241193,0.335000213484727,0.0964467005076142
"103","OTU_126","Control",-0.226546224142871,-0.0571657268059845,0.0675367282033609,0.734883720930233
"104","OTU_126","Warming",0.113813343599379,0.213846036187706,0.332434642637239,0
"105","OTU_12608","Control",-0.450632494473174,-0.110778699433033,0.100020806591372,0.823255813953488
"106","OTU_12608","Warming",0.127940821609859,0.220904770454495,0.295445455398756,0
"107","OTU_12655","Control",-0.066339895318265,0.0330667415591032,0.132481374304479,0.246376811594203
"108","OTU_12655","Warming",0.11017672501579,0.222238987905266,0.32323965093926,0
"109","OTU_1268","Control",-0.00244537326677739,0.0794977797552574,0.227224456217284,0.0372093023255814
"110","OTU_1268","Warming",0.223567557263458,0.361081205096999,0.51679424558201,0
"111","OTU_1273","Control",-0.155848244552079,0.133817688247042,0.362429269094486,0.173553719008264
"112","OTU_129","Control",-0.0212950987934902,0.19215488370138,0.405400005366639,0.0476190476190477
"113","OTU_129","Warming",0.0964396544008601,0.323406520258776,0.555956738152279,0.002
"114","OTU_1294","Control",0.0312185057441719,0.194848199246621,0.472578018529474,0.00316122233930449
"115","OTU_1294","Warming",0.144348038057082,0.346288196781858,0.665025139574105,0
"116","OTU_13","Control",-0.589361093473569,0.0520172841092959,0.323193205717095,0.483908045977012
"117","OTU_130","Control",-0.0484493543545329,0.0785080844240593,0.219710915153501,0.113
"118","OTU_130","Warming",0.200162625255254,0.340514821005317,0.498702014734287,0
"119","OTU_1304","Control",0.00216243752393277,0.162873003166045,0.289550759186342,0.025
"120","OTU_1304","Warming",0.232616424017405,0.376005251389085,0.49438744156364,0
"121","OTU_1305","Control",-0.192236448561383,-0.0680041919239072,0.050615604321721,0.857
"122","OTU_1305","Warming",0.0681016985950359,0.21964853363581,0.345456694089035,0.001
"123","OTU_1309","Control",-0.110652496013538,0.0394818144240583,0.151041642761472,0.29047619047619
"124","OTU_1309","Warming",0.0938863057578199,0.273708449945766,0.357471350392706,0
"125","OTU_131","Control",-0.0299787853544904,0.0688430402874159,0.166291173517334,0.087
"126","OTU_131","Warming",0.0959557002053996,0.216103202956692,0.324156147292871,0
"127","OTU_13110","Control",-0.213985793131216,-0.0131371489048733,0.112680798948398,0.557416267942584
