"","otu_id","sampleID","timepoint","isotope","ecosystem","treatment","rep","Kingdom","Phylum","Class","Order","Family","Genus","wvd","abund","light","label","gc_prop","mw_light","mw_label","mw_max","nat_abund","eaf"
"4045","OTU_4201","W1_Moss_31",7,"15N","moss","Warming",5,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylocystaceae","Methylocystis",2.17232082955426e-06,47826.1381530835,1.72410279833139,1.72825097142398,0.934613061712859,308.15456807861,308.895984709276,312.141593216386,0.003663004,0.185276187898425
"4046","OTU_424","W1_Moss_21",7,"15N","moss","Control",1,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella",1.6788310567474e-05,10897473.3225078,1.71081512531281,1.71613580503779,0.775490687050197,308.075643380777,309.033766678404,311.982711896208,0.003663004,0.244329907291238
"4047","OTU_424","W1_Moss_22",7,"15N","moss","Control",2,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella",3.33093262886493e-05,175260.260896645,1.71081512531281,1.7103341447453,0.775490687050197,308.075643380777,307.989030633673,311.982711896208,0.003663004,-0.0220870158595706
"4048","OTU_424","W1_Moss_23",7,"15N","moss","Control",3,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella",4.27043718312506e-05,94888.4342652871,1.71081512531281,1.70976161400551,0.775490687050197,308.075643380777,307.885931956671,311.982711896208,0.003663004,-0.0483780895201025
"4049","OTU_424","W1_Moss_24",7,"15N","moss","Control",4,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella",1.64619993140776e-05,3254117.94264217,1.71081512531281,1.70876600928279,0.775490687050197,308.075643380777,307.706648081419,311.982711896208,0.003663004,-0.0940970619400097
"4050","OTU_424","W1_Moss_25",7,"15N","moss","Control",5,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella",3.63995590210989e-05,35815010.0091335,1.71081512531281,1.71436349907512,0.775490687050197,308.075643380777,308.714618050573,311.982711896208,0.003663004,0.162944187057344
"4051","OTU_424","W1_Moss_26",7,"15N","moss","Control",6,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella",1.2652759620971e-05,64324.3866614166,1.71081512531281,1.71343755402083,0.775490687050197,308.075643380777,308.547878164939,311.982711896208,0.003663004,0.120424042834287
"4052","OTU_424","W1_Moss_27",7,"15N","moss","Warming",1,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella",2.56068475752553e-05,1872.90852505869,1.71081512531281,1.72508562494262,0.775490687050197,308.075643380777,310.645408687249,311.982711896208,0.003663004,0.655312860719668
"4053","OTU_424","W1_Moss_28",7,"15N","moss","Warming",2,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella",2.63747552760344e-05,16181.1736502145,1.71081512531281,1.72110616633305,0.775490687050197,308.075643380777,309.928806259955,311.982711896208,0.003663004,0.472572909547624
"4054","OTU_424","W1_Moss_29",7,"15N","moss","Warming",3,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella",5.6312931287298e-05,4570.61339359439,1.71081512531281,1.72218610630536,0.775490687050197,308.075643380777,310.123276835332,311.982711896208,0.003663004,0.522164624695584
