"otu_id","W1_Moss_21","W1_Moss_22","W1_Moss_23","W1_Moss_24","W1_Moss_25","W1_Moss_26","W1_Moss_27","W1_Moss_28","W1_Moss_29","W1_Moss_30","W1_Moss_31","W1_Moss_32"
"OTU_10806",0,0,0,0,0,0,0,0.222523911970516,0.116536521504801,0.28993986123843,0.0427396468588191,0
"OTU_109",0,0,0,0,0,0,0,0,0,0.373927419663123,0.354507128715056,0.0537007670944407
"OTU_10",0.293446971008244,0.110480200108666,0.160456841490257,0,0.210686311576077,0.0961864717140741,0.56521690407219,0.447689189605156,0.527329327788243,0.447329624309627,0.355578425332845,0.0169323644568904
"OTU_110784",0,0,0,0,0,0,0,0,0.374337819113048,0.482550435450068,0.235932936640348,0
"OTU_1119",0.203399003647333,0.194345857952358,0.299991791530722,0.00521351848829713,0.0598989826486372,0.133018805148349,0.590608428451326,0.40642263124422,0.622241291961044,0,0,0
"OTU_1127",0,0,0,0,0,0,0.654338562677101,0.513378044171894,0.99580324234502,0,0,0
"OTU_11362",0.245870819281248,0.0505099668903618,0.368766632882781,0,0.139750560287635,0.150189323347081,0,0,0,0,0,0
"OTU_1136",0,0,0,0,0,0,0,0,0.266129775497883,0.270276561006518,0.0482599305352019,0
"OTU_1140",0,0,0,0,0,0,0.680171606700202,0.536176185849162,0,0.298523247515574,0,0.287402904388048
"OTU_1141",0.16878550776041,0.153153832509617,0.0450448155917472,0.158272222411012,0,0.0157048912556778,0.406792139869761,0.449931067028874,0.251288146489331,0.343329943241206,0.141732793711425,0.121511819191904
"OTU_1146",0,0,0,0,0,0,0.370719168011116,0.354157217076388,0,0,0,0.0210193141641047
"OTU_114",0,0,0,0,0,0,0.661497046079714,0.355724467400886,0.244858359899811,0.748904007706742,0,0
"OTU_1150",0,0,0,0.219901251836816,0.150663687447291,0.168347784713565,0.735986583877581,0.466121943463538,0.390139559683712,0,0.415167723731043,0.00847647147115672
"OTU_1152",0,0,0,0,0,0,0.24123736620926,0.159005336433149,0.135272736463582,0.283070101937138,0.0961350852214547,0
"OTU_116",0,0,0,0,0,0,0.0968714180440599,0.35705469151141,0.217671619163746,0.316393617597406,0.132215278671729,0
"OTU_11764",0,0.299611930496671,0,0.219626963317107,0,0.216061720363367,0.382501620569313,0.586277503332963,0.370289853669522,0,0,0
"OTU_1178",0,0,0,0,0,0,0,0.371786197060344,0.226680784869695,0.32974546878365,0.0761089758473799,0
"OTU_1179",0,0,0,0,0,0,0.476793707531214,0.389508995563244,0,0.311576975419635,0.0958341291925885,0
"OTU_1188",0,0,0,0,0,0,0.690008732105813,0.240560005667867,0.120414548179362,0.562465723453812,0,0.212773607288846
"OTU_118",0.171813626436514,0.150473213846924,0.0860994956341816,0.105220552391192,0.0650374929560834,0.187260818477035,0.476089456822301,0.391070456362585,0.209319765427477,0.307135292701159,0.11760144097123,0.141300429263892
"OTU_119",0.275067268756913,0.0351860867607472,0.13767560971234,0.189540189980399,0,0.249590568251608,0.516760063801221,0.544257617807114,0.277254674927243,0.376061008684575,0.207325784534328,0.289114598452404
"OTU_11",0,0,0,0,0,0,0.361225788154277,0.311846838003087,0.171061622146464,0.301251312492968,0.109509698331243,0.10862724114374
"OTU_1200",0,0,0,0,0,0,0.419650608728118,0.332969649286046,0.265118005040435,0.309842351719773,0.127598568883239,0.200473420738477
"OTU_120707",0,0,0,0,0,0,0.428691506646892,0.446849027629653,0.265338029730317,0.418288454907572,0.128109779421643,0
"OTU_1209",0,0,0,0,0,0,0.42371784593964,0,0.460592684277132,0.489482805189742,0.287747080762363,0
"OTU_12148",0,0.173624509755862,0,0,0.00725036473417656,0.187997302796969,0,0,0,0,0,0
"OTU_121",0,0,0,0,0,0,0.672686068886817,0.506516260415459,0.450744242069213,0.62259119432512,0.722491269291572,0
"OTU_1229",0,0,0,0,0,0,0.441046327100321,0.457851889833867,0,0,0.166923014588561,0
"OTU_1231",0,0,0,0,0,0,0.560979003066581,0.41778246363708,0.471798996070515,0.606465845867618,0.332775559163194,0
"OTU_123",0,0,0,0,0,0,0.258495769922182,0.362962641585662,0.133711665350388,0.233315990484678,0.0348138832100182,0.128389917753017
"OTU_124205",0,0,0,0,0,0,0,0,0.325283909163457,0.304777419146348,0.0935619059891095,0
"OTU_12608",0,0,0,0,0,0,0,0.253254062506096,0.247163046040026,0.317575451529147,0.0373078029647188,0.192859249537137
"OTU_12655",0,0,0,0,0,0,0.314553477595711,0.362927357608089,0,0.264288016107444,0.0482020020926572,0.145228574535835
"OTU_1268",0,0.167823269502838,0.110914589405818,0.155326678629033,0.0177984870488454,0,0.523798630277537,0.489699991061839,0.343679098410813,0.425579854254555,0.190784737565182,0
"OTU_126",0,0,0,0,0,0,0.203210890137482,0.461627776723295,0.106530732112629,0.255572202354979,0.0997382134133845,0.164621873083066
"OTU_1294",0.214732484022551,0.191965111588088,0.165594180929514,0.251240145267165,0,0.297388656218377,0.524033615354411,0,0,0.387133529538304,0.194169951341303,0.225167080740174
"OTU_129",0.225307001833507,0.399536309435153,0,0.161479780428749,0,0,0.676674953290585,0.470144070713668,0.120272508081247,0.349695210996534,0.130612597873713,0.164859713383167
"OTU_12",0,0,0,0,0,0,0.727523171090198,0.444057889254122,0.387783767241297,0.426314013412269,0.377659309287109,0
"OTU_1304",0.350824847135133,0.302204334097732,0.202795321028629,0,0.221920642930821,0.0640984996258839,0.564021687120098,0.391397344884886,0.42722607105049,0,0.379467666555124,0.120217674387548
"OTU_1305",0,0,0,0,0,0,0.328220215803304,0.349970872298721,0.274509824968639,0.281062461726326,0.148448849222387,0
"OTU_1309",0,0,0,0,0,0,0,0.301780630899693,0.268897978099646,0.276561283015316,0,0
"OTU_130",0,0,0,0,0,0,0.380901542501833,0.438340748517938,0.270770722909814,0.396753042344781,0.192670799769615,0.370572872289783
"OTU_1313",0.242879253378093,0.150113122563962,0.23036482282369,0,0.202342104568688,0.129548168119232,0.588010712210588,0.464976111657408,0.352401141810195,0,0,0
"OTU_131",0,0,0,0,0,0,0.255633351975629,0.258295192007076,0.209217515881282,0.33114374851242,0.208873433763233,0.0140602898706181
"OTU_1324",0,0,0,0,0,0,0.398123473439915,0.386589542503353,0.297712637465172,0.314363836648944,0.16379744718156,0.22077372954973
"OTU_1325",0,0,0,0,0,0,0.249388140023189,0.267369452861704,0.190879410134956,0.372213145826972,0.148298033051917,0.25367340356051
"OTU_1334",0.28757343208511,0.100848686170308,0.0773614266342661,0.0928695601806306,0.0552185858659938,0,0.444220632139467,0.401322015333155,0.217144239705716,0.334679038983735,0.114679310448793,0.161284624299109
"OTU_134",0.300987856159705,0.161435235199523,0.157080956878583,0.171145362759049,0.0540584671354548,0.0738447499279056,0.624915235710491,0.508839661104555,0.283757381338113,0.386093027891689,0.190598871142245,0.23377297168054
"OTU_1352",0,0,0,0,0,0,0,0.363956971648781,0.225018366540678,0.325055700374013,0.1198801039972,0
"OTU_1357",0,0,0,0,0,0,0,0,0.187001856270445,0.236559199075278,0.0763629155723154,0.143401158983288
"OTU_136",0,0,0,0,0,0,0.404939321085399,0.512899687852131,0.217190938661629,0.288133061835917,0.0892109649288469,0.184278153631929
"OTU_1386",0,0,0,0,0,0,0,0.308786548994658,0,0.292325251920567,0.0673780748184812,0
